claim_id	section	claim_kind	risk_level	claim_text	evidence_summary	evidence_urls	source_urls	source_domains	evidence_count	primary_source_count	source_role	confidence	status	required_fix	required_evidence_count	required_primary_count	gap_note	exact_date	jurisdiction	regulated_subject	scope	effective_date	transition_period	tone_guidance	tone_reason	caveat
claim-011	## 2. 読み手が先に知るべき要点	regulatory	high	EU では、RoHS が EEE 中の六価クロムを制限し、REACH Annex XVII Entry 27 はニッケルを「総量」ではなく皮膚接触時の放出条件で縛ります。RoHS 適合と REACH 適合は別問題であり、製品スコープと接触条件を付けて書く必要があります。EUR-Lex RoHS 欧州委員会 RoHS ECHA Annex XVII ECHA nickel details	inline citation context	https://eur-lex.europa.eu/legal-content/EN/TXT?uri=CELEX%3A02011L0065-20250101 | https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459 | https://echa.europa.eu/substances-restricted-under-reach/-/dislist/details/0b0236e1807e266a	https://eur-lex.europa.eu/legal-content/EN/TXT?uri=CELEX%3A02011L0065-20250101 | https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459 | https://echa.europa.eu/substances-restricted-under-reach/-/dislist/details/0b0236e1807e266a	eur-lex.europa.eu | environment.ec.europa.eu | echa.europa.eu	4	4	legal_text | government_context	0.95	ok		2	1			EU	hexavalent chromium	electrical and electronic equipment			standard	official, legal, standards, academic, or public-context support is present	
claim-012	## 3. 判断に使う主要根拠	fact	low	めっきは基材表面に金属皮膜を形成して機能を付与する技術で、狭義では湿式反応、広義では乾式法まで含む用法がある。	表面技術協会と富士電機は湿式めっきの定義を示し、アルバックテクノは蒸着・スパッタ等を含む広義用法を明示している。	https://mekki.sfj.or.jp/ | https://fujielectric.co.jp/products/plating/about | https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html	https://mekki.sfj.or.jp/ | https://fujielectric.co.jp/products/plating/about | https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html	mekki.sfj.or.jp | fujielectric.co.jp | ulvac-techno.co.jp	3	1	professional_body | vendor_first_party	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-013	## 3. 判断に使う主要根拠	fact	low	電気めっき、無電解めっき、溶融めっきは、原理も向く用途も異なるため分けて比較すべきである。	富士電機は電気・無電解・置換を区別し、全鍍連は無電解の均一析出性を説明し、日本溶融亜鉛鍍金協会は溶融亜鉛めっきを独立した技術分野として扱う。	https://fujielectric.co.jp/products/plating/about | https://zentoren.or.jp/mekki/hyoumenshori.html | https://aen-mekki.or.jp/	https://fujielectric.co.jp/products/plating/about | https://zentoren.or.jp/mekki/hyoumenshori.html | https://aen-mekki.or.jp/	fujielectric.co.jp | zentoren.or.jp | aen-mekki.or.jp	3	1	vendor_first_party | industry_association | professional_body	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees; vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-014	## 3. 判断に使う主要根拠	fact	low	自動車、機械、電気電子、建材は代表的な需要先であり、めっきは装飾だけでなく防食・導電・接続機能を担う。	機材工は代表用途を自動車部品、機械部品、電気電子部品、装飾部品と整理し、JCU は自動車部品、基板、電子部品、半導体周辺を具体例として挙げる。	https://kizaikou.or.jp/basic.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	https://kizaikou.or.jp/basic.html | https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	kizaikou.or.jp | jcu-i.com	2	0	industry_association | vendor_first_party	0.85	ok		2	1								soften_vendor_association	vendor / industry-association evidence should be framed as representative or public-material context	industry association evidence is best used for sector context, not plant-specific guarantees; vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-015	## 3. 判断に使う主要根拠	fact	low	電子用途では、基板・微細配線・コネクタ等でめっき品質が接続信頼性を左右し、潜在不良は熱負荷後に顕在化しうる。	JCU は基板・ビアフィル・電子部品・半導体PKG基板向け銅めっき薬品を整理し、IPC は microvia-to-target plating failure が従来検査をすり抜けると警告している。	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	jcu-i.com | ipc.org	2	1	vendor_first_party | standards_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-016	## 3. 判断に使う主要根拠	fact	high	工程不良の多くは前処理、浴管理、膜厚均一性、密着性、異物管理の失敗として現れる。	ORIST はめっきの利用分野と前処理・機能を整理し、表面技術協会の湿式めっき基礎セミナーは無電解ニッケルの選定・管理方法の重要性を示している。	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://sfj.or.jp/kaikoku/20220829Kansai.html	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf | https://sfj.or.jp/kaikoku/20220829Kansai.html	www2.orist.jp | sfj.or.jp	2	2	government_context | professional_body	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-017	## 3. 判断に使う主要根拠	fact	high	日本では六価クロムの一般排水基準が 0.2 mg Cr(VI)/L に整理され、2024年4月1日から電気めっき業には 0.5 mg/L の暫定基準が3年間適用されている。	環境省の一般排水基準ページが 0.2 mg Cr(VI)/L を示し、大阪府ページが 2024年4月1日施行の暫定基準 0.5 mg/L を説明している。	https://env.go.jp/water/impure/haisui.html | https://pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html	https://env.go.jp/water/impure/haisui.html | https://pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html	env.go.jp | pref.osaka.lg.jp	2	2	official_regulator | legal_text	0.95	ok		2	1		2024-04-01	Japan	hexavalent chromium			3 years	standard	official, legal, standards, academic, or public-context support is present	
claim-018	## 3. 判断に使う主要根拠	fact	high	2024年2月5日、日本では六価クロムの測定法も見直され、JIS K0102-3 ベースへ改められた。	環境省の 2024-02-05 報道発表は、六価クロム化合物の検定法・測定法を JIS K0102-3 に改めたことを明示している。	https://env.go.jp/press/press_02720.html | https://env.go.jp/water/impure/haisui.html	https://env.go.jp/press/press_02720.html | https://env.go.jp/water/impure/haisui.html	env.go.jp	2	2	official_regulator	0.95	ok		2	1		2024-02-05	Japan	hexavalent chromium				standard	official, legal, standards, academic, or public-context support is present	
claim-019	## 3. 判断に使う主要根拠	fact	high	米国では、めっきは排水規制と大気規制の両面から管理され、クロム工程では PFAS と六価クロムが同時論点化している。	EPA の電気めっき排水ガイドラインは chrome finishing facilities と PFAS 論点を示し、クロムめっき NESHAP は hard/decorative chromium electroplating を対象にしている。	https://epa.gov/eg/electroplating-effluent-guidelines | https://epa.gov/stationary-sources-air-pollution/chromium-electroplating-national-emission-standards-hazardous-air	https://epa.gov/eg/electroplating-effluent-guidelines | https://epa.gov/stationary-sources-air-pollution/chromium-electroplating-national-emission-standards-hazardous-air	epa.gov	2	2	official_regulator	0.95	ok		2	1			United States	hexavalent chromium				standard	official, legal, standards, academic, or public-context support is present	
claim-020	## 3. 判断に使う主要根拠	fact	high	六価クロムは電気めっきで広く使われる一方、職業ばく露の健康影響が強く意識されている。	NIEHS は electroplating を主要用途に挙げ、OSHA は PEL 5 µg/m3 と action level 2.5 µg/m3 を定めている。	https://niehs.nih.gov/health/topics/agents/hex-chromium | https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	https://niehs.nih.gov/health/topics/agents/hex-chromium | https://osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	niehs.nih.gov | osha.gov	2	2	government_context | legal_text	0.95	ok		2	1			United States	hexavalent chromium				standard	official, legal, standards, academic, or public-context support is present	
claim-021	## 3. 判断に使う主要根拠	fact	high	EU では、EEE 向けには RoHS が六価クロムを制限し、皮膚接触品には REACH Annex XVII Entry 27 のニッケル放出条件が効く。	欧州委員会と EUR-Lex の RoHS 文書が hexavalent chromium を制限対象に挙げ、ECHA 文書が Entry 27 のニッケル条件を整理している。	https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://eur-lex.europa.eu/legal-content/EN/TXT?uri=CELEX%3A02011L0065-20250101 | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en | https://eur-lex.europa.eu/legal-content/EN/TXT?uri=CELEX%3A02011L0065-20250101 | https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	environment.ec.europa.eu | eur-lex.europa.eu | echa.europa.eu	3	3	legal_text	0.95	ok		2	1			EU	hexavalent chromium	electrical and electronic equipment			standard	official, legal, standards, academic, or public-context support is present	
claim-022	### 4.1 方式比較の見取り図	fact	low	電気めっき - 主な使いどころ: 自動車部品、コネクタ、外観部材、一般機能皮膜	table cell	https://fujielectric.co.jp/products/plating/about | https://asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE	https://fujielectric.co.jp/products/plating/about | https://asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE	fujielectric.co.jp | asminternational.org	2	1	vendor_first_party | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-023	### 4.1 方式比較の見取り図	fact	low	電気めっき - 強み: 金属種の選択肢が広く、量産しやすく、コスト/性能バランスが良い	table cell	https://fujielectric.co.jp/products/plating/about | https://asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE	https://fujielectric.co.jp/products/plating/about | https://asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE	fujielectric.co.jp | asminternational.org	2	1	vendor_first_party | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-024	### 4.1 方式比較の見取り図	fact	high	電気めっき - 主な弱み・注意: 形状依存で膜厚が偏りやすい。前処理と電流分布設計が重要	table cell	https://fujielectric.co.jp/products/plating/about | https://asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE	https://fujielectric.co.jp/products/plating/about | https://asminternational.org/results/-/journal_content/56/ASMHBA0003687/BOOK-ARTICLE	fujielectric.co.jp | asminternational.org	2	1	vendor_first_party | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-025	### 4.1 方式比較の見取り図	fact	high	無電解めっき - 主な使いどころ: 複雑形状、非導体、均一膜厚重視、精密部品	table cell	https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	zentoren.or.jp | sfj.or.jp	2	1	industry_association | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-026	### 4.1 方式比較の見取り図	fact	low	無電解めっき - 強み: 電流分布に縛られず均一析出しやすい	table cell	https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	zentoren.or.jp | sfj.or.jp	2	1	industry_association | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-027	### 4.1 方式比較の見取り図	fact	low	無電解めっき - 主な弱み・注意: 浴安定性、還元剤管理、コスト、浴寿命が論点	table cell	https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	https://zentoren.or.jp/mekki/hyoumenshori.html | https://sfj.or.jp/kaikoku/20220829Kansai.html	zentoren.or.jp | sfj.or.jp	2	1	industry_association | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-028	### 4.1 方式比較の見取り図	fact	low	溶融亜鉛めっき - 主な使いどころ: 鋼構造物、建材、屋外部材	table cell	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	aen-mekki.or.jp | www2.orist.jp	2	2	professional_body | government_context	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-029	### 4.1 方式比較の見取り図	fact	low	溶融亜鉛めっき - 強み: 厚い防食皮膜、犠牲防食、全浸漬性	table cell	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	aen-mekki.or.jp | www2.orist.jp	2	2	professional_body | government_context	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-030	### 4.1 方式比較の見取り図	fact	low	溶融亜鉛めっき - 主な弱み・注意: 精密電子用途のような微細制御には向かない	table cell	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	https://aen-mekki.or.jp/ | https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	aen-mekki.or.jp | www2.orist.jp	2	2	professional_body | government_context	0.95	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	
claim-031	### 4.1 方式比較の見取り図	fact	low	乾式/真空系表面処理 - 主な使いどころ: 意匠膜、薄膜機能、真空成膜	table cell	https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html | https://mekki.sfj.or.jp/	https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html | https://mekki.sfj.or.jp/	ulvac-techno.co.jp | mekki.sfj.or.jp	2	1	vendor_first_party | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-032	### 4.1 方式比較の見取り図	fact	low	乾式/真空系表面処理 - 強み: 薄膜制御、湿式とは別の材料設計が可能	table cell	https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html | https://mekki.sfj.or.jp/	https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html | https://mekki.sfj.or.jp/	ulvac-techno.co.jp | mekki.sfj.or.jp	2	1	vendor_first_party | professional_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-033	### 4.1 方式比較の見取り図	scope	low	乾式/真空系表面処理 - 主な弱み・注意: 狭義のめっきと混同しやすく、工程比較の前提がずれる	table cell	https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html | https://mekki.sfj.or.jp/	https://ulvac-techno.co.jp/service/surface_treatment/faq/001.html | https://mekki.sfj.or.jp/	ulvac-techno.co.jp | mekki.sfj.or.jp	2	1	vendor_first_party | professional_body	0.80	out_of_scope		0	0								standard	official, legal, standards, academic, or public-context support is present	vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-034	### 4.2 何が選定を分けるか	advice	high	公開資料の範囲では、方式差でまず見るべきは電流を使うかどうかより、形状依存性と基材適合性です。深穴や複雑形状で均一膜厚が必須なら、電気めっき単独より無電解やシード層併用が候補に上がりやすくなります。富士電機 全国鍍金工業組合連合会	inline citation context	https://fujielectric.co.jp/products/plating/about | https://zentoren.or.jp/mekki/hyoumenshori.html	https://fujielectric.co.jp/products/plating/about | https://zentoren.or.jp/mekki/hyoumenshori.html	fujielectric.co.jp | zentoren.or.jp	2	0	vendor_first_party | industry_association	0.85	ok		2	1								soften_vendor_association	vendor / industry-association evidence should be framed as representative or public-material context	industry association evidence is best used for sector context, not plant-specific guarantees; vendor evidence should be checked against the actual process, substrate, and acceptance test
claim-035	### 4.2 何が選定を分けるか	fact	low	用途差では、防食系と電子系を一括で語らない方がよいです。前者は耐食寿命や後処理、後者は接触信頼性、ボイド、界面、熱サイクル後の不良顕在化が中心になります。機材工 IPC	inline citation context	https://kizaikou.or.jp/basic.html | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	https://kizaikou.or.jp/basic.html | https://ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	kizaikou.or.jp | ipc.org	2	1	industry_association | standards_body	0.85	ok		2	1								standard	official, legal, standards, academic, or public-context support is present	industry association evidence is best used for sector context, not plant-specific guarantees
claim-036	### 4.2 何が選定を分けるか	regulatory	high	コスト差では、薬品単価よりライン停止、再処理、検査負荷、排水・排気処理の方が効く場面が多いです。これは、環境規制と品質保証が工程そのものに組み込まれているからです。JCU US EPA 排水	inline citation context	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://epa.gov/eg/electroplating-effluent-guidelines	https://jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf | https://epa.gov/eg/electroplating-effluent-guidelines	jcu-i.com | epa.gov	2	1	vendor_first_party | official_regulator	0.85	ok		2	1			United States	wastewater discharge				standard	official, legal, standards, academic, or public-context support is present	
