query	title	url	snippet	published_at
chromium electroplating air EPA	Chromium Electroplating: National Emission Standards for Hazardous Air Pollutants | US EPA	https://www.epa.gov/stationary-sources-air-pollution/chromium-electroplating-national-emission-standards-hazardous-air	EPAの大気規制ページ。硬質・装飾クロムめっきおよびクロム酸陽極酸化槽からのクロム化合物排出を対象にしたNESHAP/MACTを説明。	
六価クロム 排水基準 環境省	一般排水基準 | 水・土壌・地盤・海洋環境の保全 | 環境省	https://www.env.go.jp/water/impure/haisui.html	環境省の一般排水基準。六価クロム化合物は 0.2 mg Cr(VI)/L と整理。	
六価クロム 暫定排水基準 大阪府	六価クロム化合物の排水基準と暫定排水基準が改正されました（令和6年4月1日施行）／大阪府（おおさかふ）ホームページ	https://www.pref.osaka.lg.jp/o120080/jigyoshoshido/mizu/r6-4kaisei.html	2024年4月1日施行。六価クロム化合物の排水基準を 0.2 mg/L に改め、電気めっき業の特定事業場には暫定基準 0.5 mg/L を3年間適用と説明。	2024-04-01
RoHS hexavalent chromium official	RoHS Directive - Environment - European Commission	https://environment.ec.europa.eu/topics/waste-and-recycling/rohs-directive_en#law	欧州委員会のRoHS解説。hexavalent chromium を含む10物質を制限し、電気電子機器への適合を求める。	
REACH nickel official	ANNEX XVII TO REACH – Conditions of restriction	https://echa.europa.eu/documents/10162/3bbe9024-52a6-8e63-5581-e686331eb459	ECHAのREACH Annex XVII資料。Entry 27 としてニッケルの制限条件を整理。	
hexavalent chromium exposure NIEHS	Hexavalent Chromium | National Institute of Environmental Health Sciences	https://www.niehs.nih.gov/health/topics/agents/hex-chromium	NIEHSの健康影響解説。六価クロムは electroplating などで広く使われ、吸入・摂取・皮膚接触でばく露しうると説明。	
めっき 電子部品 応用 公設研	防錆・防食のためのめっきの基礎知識	https://www2.orist.jp/dl/izumi/archive/Gijutsu_shiryo/Corr.pdf	大阪府立産業技術総合研究所の資料。めっきの種類、利用分野、プリント基板や電子部品への応用、防食・耐摩耗などの機能を解説。	
めっき 用途 自動車 電子 JCU	表面処理技術から未来を創造する	https://www.jcu-i.com/wp/wp-content/uploads/2022/10/irks1_20220511.pdf	JCUのIR資料。装飾・防錆分野、Plating on Plastics、自動車部品、水栓金具、プリント基板/マザーボード向け銅めっき薬品などの用途を整理。	
PCB reliability IPC	IPC Issues Electronics Industry Warning on Printed Board Microvia Reliability for High Performance Products | IPC International, Inc.	https://www.ipc.org/news-release/ipc-issues-electronics-industry-warning-printed-board-microvia-reliability-high	IPCのリリース。高性能製品での microvia-to-target plating failures と検査限界に関する注意喚起。	
ニッケル化合物 労働安全 厚労省	平成２０年１１月の特定障害予防規則等の改正（ニッケル化合物・砒素及びその化合物に係る規制の導入等）｜厚生労働省	https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei20/index.html	厚生労働省の安全衛生ページ。ニッケル化合物等に係る規制導入と健康障害防止対策強化の案内。	
めっき 用途 経産省	金属素材産業関係資料	https://www.meti.go.jp/policy/mono_info_service/mono/iron_and_steel/downloadfiles/kinzokusozai2.pdf	経済産業省の金属素材産業資料。めっきや表面処理を含む素材産業の位置づけと需要産業との関係を把握する補助資料。	
六価クロム 測定法 改正 環境省	環境大臣が定める排水基準に係る検定方法等の一部改正について | 報道発表資料 | 環境省	https://www.env.go.jp/press/press_02720.html	2024年2月5日公表。六価クロムに係る基準見直しを踏まえ、排水基準に係る検定方法等を改正。	2024-02-05
化学物質 自律的管理 厚労省	新たな化学物質規制に関する特設サイト｜厚生労働省	https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000099121_00005.html	厚労省の特設サイト。化学物質の自律的管理に向けた制度改正と対象物質拡大の整理。	
CrVI OSHA standard	1910.1026 - Chromium (VI). | Occupational Safety and Health Administration	https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1026	OSHAの六価クロム規則。一般産業向けの許容濃度、アクションレベル、ばく露管理などを整理。	
RoHS 統合版 EUR-Lex	Directive 2011/65/EU on the restriction of the use of certain hazardous substances in electrical and electronic equipment (consolidated text)	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02011L0065-20250101	EUR-LexのRoHS統合版。六価クロムを含む制限物質と適用法構造を確認できる。	2025-01-01
REACH nickel details ECHA	ECHA restricted substances under REACH - Nickel details	https://echa.europa.eu/substances-restricted-under-reach/-/dislist/details/0b0236e1807e266a	ECHAのニッケル制限詳細ページ。長時間皮膚接触品に関する実務上の解釈を確認する補助資料。	

